participant,graded,image
expert2,4,US.512
expert2,5,US.243
expert2,2,US.184
expert2,1,US.377
expert2,3,US.159
expert2,2,US.114
expert2,2,US.264
expert2,3,US.474
expert2,4,US.304
expert2,2,US.507
expert2,7,US.466
expert2,2,US.443
expert2,2,US.271
expert2,5,US.165
expert2,7,US.098
expert2,2,US.254
expert2,4,US.130
expert2,5,US.262
expert2,3,US.225
expert2,2,US.431
expert2,2,US.396
expert2,1,US.210
expert2,2,US.356
expert2,3,US.484
expert2,2,US.475
expert2,3,US.126
expert2,4,US.486
expert2,5,US.013
expert2,2,US.061
expert2,1,US.035
expert2,1,US.039
expert2,5,US.134
expert2,4,US.166
expert2,4,US.280
expert2,3,US.376
expert2,2,US.217
expert2,3,US.510
expert2,2,US.094
expert2,1,US.430
expert2,3,US.144
expert2,4,US.363
expert2,2,US.139
expert2,4,US.439
expert2,2,US.341
expert2,1,US.112
expert2,4,US.072
expert2,2,US.213
expert2,2,US.127
expert2,1,US.032
expert2,3,US.011
expert2,5,US.185
expert2,2,US.181
expert2,5,US.145
expert2,2,US.268
expert2,2,US.453
expert2,1,US.300
expert2,3,US.263
expert2,7,US.037
expert2,2,US.289
expert2,7,US.401
expert2,1,US.432
expert2,3,US.440
expert2,4,US.306
expert2,1,US.448
expert2,3,US.357
expert2,4,US.219
expert2,2,US.514
expert2,2,US.471
expert2,7,US.234
expert2,2,US.078
expert2,2,US.105
expert2,2,US.176
expert2,3,US.505
expert2,4,US.006
expert2,3,US.255
expert2,2,US.119
expert2,5,US.295
expert2,5,US.379
expert2,2,US.455
expert2,1,US.099
expert2,3,US.403
expert2,2,US.196
expert2,1,US.373
expert2,1,US.235
expert2,7,US.073
expert2,1,US.088
expert2,2,US.394
expert2,1,US.153
expert2,1,US.046
expert2,7,US.395
expert2,3,US.408
expert2,3,US.089
expert2,6,US.019
expert2,5,US.110
expert2,5,US.197
expert2,4,US.334
expert2,1,US.230
expert2,2,US.038
expert2,2,US.340
expert2,5,US.324
expert2,2,US.480
expert2,3,US.005
expert2,7,US.085
expert2,4,US.201
expert2,4,US.068
expert2,1,US.468
expert2,5,US.012
expert2,3,US.298
expert2,3,US.079
expert2,3,US.336
expert2,2,US.393
expert2,2,US.056
expert2,4,US.392
expert2,1,US.323
expert2,4,US.001
expert2,3,US.030
expert2,2,US.287
expert2,5,US.253
expert2,4,US.009
expert2,1,US.425
expert2,2,US.167
expert2,2,US.473
expert2,3,US.477
expert2,4,US.404
expert2,2,US.027
expert2,3,US.291
expert2,6,US.487
expert2,1,US.273
expert2,2,US.248
expert2,1,US.008
expert2,2,US.385
expert2,1,US.141
expert2,3,US.238
expert2,2,US.180
expert2,1,US.447
expert2,2,US.186
expert2,3,US.352
expert2,2,US.292
expert2,1,US.257
expert2,1,US.065
expert2,5,US.288
expert2,4,US.252
expert2,2,US.118
expert2,3,US.277
expert2,3,US.275
expert2,7,US.178
expert2,2,US.370
expert2,7,US.366
expert2,2,US.117
expert2,4,US.028
expert2,7,US.348
expert2,2,US.501
